SYMBOL,EXCHANGE,SERIES,ISIN,DATE,CMP,OPEN,HIGH,LOW,PREV_CLOSE,CHANGE_PCT,VWAP,VOLUME,TURNOVER,AVG_VOL_20D,VOL_SPIKE_RATIO,DELIV_PER,EMA_50,EMA_200,DIST_FROM_EMA50_PCT,DIST_FROM_EMA200_PCT,EMA_GOLDEN_CROSS,RSI_14,HIGH_52W,LOW_52W,DIST_FROM_52W_HIGH_PCT,DIST_FROM_52W_LOW_PCT,DAYS_OF_HISTORY,RETURN_1D_PCT,RETURN_1W_PCT,RETURN_1M_PCT,RETURN_3M_PCT,RETURN_6M_PCT,RETURN_1Y_PCT,IS_SME
DATAMATICS,NSE,EQ,INE365B01017,2026-07-22,833.3,829.0,868.8,829.0,827.75,0.67,843.8,165644,139770320.35,194654.0,0.85,,809.57,807.32,2.93,3.22,True,51.05,977.15,637.25,-14.72,30.77,215,0.67,-2.37,3.26,14.54,13.27,,False
DATAPATTNS,NSE,EQ,INE0IX101010,2026-07-22,4782.8,4299.0,4804.0,4235.4,4243.9,12.7,4636.64,6972637,32329588496.0,968687.0,7.2,,4237.54,3504.8,12.87,36.46,True,62.83,4866.2,2182.5,-1.71,119.14,215,12.7,14.16,-1.71,35.63,84.56,,False
DAVANGERE,NSE,EQ,INE179G01029,2026-07-22,3.3,3.43,3.63,3.28,3.39,-2.65,3.44,53756320,185058161.63,8048791.0,6.68,,3.62,3.83,-8.9,-13.87,False,24.06,5.15,3.3,-35.92,0.0,215,-2.65,-5.17,-8.84,-10.33,-32.52,,False
DBCORP,NSE,EQ,INE950I01011,2026-07-22,214.27,218.85,218.85,211.62,216.7,-1.12,214.69,379452,81464087.02,1119441.0,0.34,,206.62,226.94,3.7,-5.58,False,62.97,284.05,185.96,-24.57,15.22,215,-1.12,2.78,5.73,0.11,-12.4,,False
DBEIL,NSE,BE,INE0OPA01027,2026-07-22,7.24,7.59,7.59,7.12,7.44,-2.69,7.23,196887,1422859.22,252772.0,0.78,,37.02,81.41,-80.44,-91.11,False,16.51,179.23,7.24,-95.96,0.0,215,-2.69,-10.4,-19.2,-90.27,-93.03,,False
DBL,NSE,EQ,INE917M01012,2026-07-22,400.45,409.1,411.9,399.0,409.1,-2.11,401.16,92532,37120300.9,99288.0,0.93,,430.87,447.67,-7.06,-10.55,False,32.48,575.45,386.15,-30.41,3.7,215,-2.11,-2.63,-11.97,-11.15,-14.94,,False
DBOL,NSE,EQ,INE0I3401014,2026-07-22,103.66,106.15,107.34,103.1,106.1,-2.3,104.31,99281,10355688.02,73677.0,1.35,,111.09,101.18,-6.69,2.45,True,38.14,128.09,69.44,-19.07,49.28,215,-2.3,-7.94,-9.55,-8.85,30.88,,False
DBREALTY,NSE,BE,INE879I01012,2026-07-22,113.99,115.9,117.2,113.28,116.7,-2.32,114.76,253045,29038365.37,402238.0,0.63,,114.88,123.74,-0.77,-7.88,False,47.92,179.74,83.97,-36.58,35.75,215,-2.32,-2.46,-3.82,5.65,4.06,,False
DBSTOCKBRO,NSE,BE,INE921B01025,2026-07-22,33.4,33.66,35.24,33.4,34.89,-4.27,34.08,12343,420640.53,168515.0,0.07,,33.87,28.85,-1.37,15.76,True,42.4,44.67,24.43,-25.23,36.72,215,-4.27,-13.38,13.26,20.27,34.08,,False
DCAL,NSE,EQ,INE385W01011,2026-07-22,186.18,189.9,191.52,184.06,190.19,-2.11,186.07,180990,33677131.71,408366.0,0.44,,186.2,207.12,-0.01,-10.11,False,47.67,314.4,129.97,-40.78,43.25,215,-2.11,-3.57,7.54,9.8,-29.3,,False
DCBBANK,NSE,EQ,INE503A01015,2026-07-22,188.65,190.22,194.29,186.42,190.22,-0.83,190.65,1288924,245736691.55,982302.0,1.31,,184.83,173.15,2.07,8.95,True,52.97,201.39,123.15,-6.33,53.19,215,-0.83,-0.87,0.76,-3.76,2.28,,False
DCCL,NSE,SM,INE04Q901010,2026-07-22,52.45,49.5,52.8,49.45,47.0,11.6,51.37,86000,4417800.0,18600.0,4.62,,42.12,46.63,24.53,12.47,False,72.58,59.75,33.7,-12.22,55.64,175,11.6,18.4,31.13,47.95,3.05,,True
